trial,size_fraction,frames_fraction,window_size,window_step_size,num_frames,size_x,size_y,num_windows_x,num_windows_y,total_time,generate_rgb_time,window_ttcf_time,extract_embedding_time,process_windows_time,create_model_time,create_windows_time,img_stk_nbytes,low_res_feature_map_nbytes,window_ttcf_nbytes,total_except_img_stk_size,total_size
6,0.8,0.5,35,10,26,1509,1509,148,26,239.27184510231018,67.8298590183258,1.239776611328125e-05,155.58954644203186,15.305245399475098,0.15742754936218262,0.059021711349487305,0.236816424,0.123363328,0.118456832,0.24182016,0.478636584
6,0.8,0.5,95,10,26,1509,1509,142,26,231.7416911125183,55.22363996505737,1.1444091796875e-05,144.41852569580078,31.541491270065308,0.17277932167053223,0.060770511627197266,0.236816424,0.113563648,0.109046912,0.22261056,0.459426984
6,0.8,0.5,125,10,26,1509,1509,139,26,235.0867097377777,53.48500466346741,8.106231689453125e-06,139.9834427833557,40.88787341117859,0.22517967224121094,0.06657266616821289,0.236816424,0.108815872,0.104487968,0.21330384,0.450120264
6,0.8,0.1,65,10,5,1509,1509,145,5,217.98715329170227,55.371185064315796,1.0251998901367188e-05,153.60377979278564,8.322090148925781,0.26334118843078613,0.011909723281860352,0.04554162,0.1184128,0.004205,0.1226178,0.16815942
6,0.8,0.1,35,10,5,1509,1509,148,5,272.0320153236389,69.29085922241211,1.2159347534179688e-05,196.80402755737305,5.414321184158325,0.1697847843170166,0.012483835220336914,0.04554162,0.123363328,0.0043808,0.127744128,0.173285748
6,0.8,0.1,95,10,5,1509,1509,142,5,251.18883562088013,57.53640413284302,1.33514404296875e-05,183.62994599342346,9.415545225143433,0.1712789535522461,0.013169527053833008,0.04554162,0.113563648,0.0040328,0.117596448,0.163138068
6,0.8,0.1,125,10,5,1509,1509,139,5,207.13801169395447,56.14995002746582,1.1920928955078125e-05,140.52863335609436,9.845271587371826,0.22448015213012695,0.013299226760864258,0.04554162,0.108815872,0.0038642,0.112680072,0.158221692
6,0.8,0.3,65,10,15,1509,1509,145,15,240.30316710472107,66.97063446044922,1.2636184692382812e-05,161.3451111316681,11.424407958984375,0.15641331672668457,0.03428006172180176,0.13662486,0.1184128,0.037845,0.1562578,0.29288266
6,0.8,0.3,35,10,15,1509,1509,148,15,228.25299263000488,67.00023221969604,1.0251998901367188e-05,151.85373950004578,8.867823600769043,0.15050959587097168,0.034265756607055664,0.13662486,0.123363328,0.0394272,0.162790528,0.299415388
6,0.8,0.3,95,10,15,1509,1509,142,15,227.12187671661377,57.52827548980713,1.1205673217773438e-05,150.1757800579071,18.780503511428833,0.17434000968933105,0.04665994644165039,0.13662486,0.113563648,0.0362952,0.149858848,0.286483708
6,0.8,0.3,125,10,15,1509,1509,139,15,297.34346103668213,62.36125469207764,1.3589859008789062e-05,205.8122329711914,28.57485055923462,0.17264461517333984,0.043730735778808594,0.13662486,0.108815872,0.0347778,0.143593672,0.280218532
6,0.2,0.6,65,10,31,377,377,32,31,37.807518005371094,15.54273247718811,1.9073486328125e-05,14.938495397567749,6.664705514907837,0.17686891555786133,0.006650686264038086,0.017623996,0.005767168,0.007872512,0.01363968,0.031263676
6,0.2,0.6,35,10,31,377,377,35,31,32.906460762023926,13.640693187713623,1.0967254638671875e-05,11.245274543762207,7.379558563232422,0.2538721561431885,0.006011247634887695,0.017623996,0.0068992,0.0094178,0.016317,0.033940996
6,0.2,0.6,95,10,31,377,377,29,31,27.04460906982422,11.903893232345581,9.059906005859375e-06,8.407009840011597,6.267122030258179,0.14720368385314941,0.0056972503662109375,0.017623996,0.004736512,0.006465608,0.01120212,0.028826116
6,0.2,0.6,125,10,31,377,377,26,31,33.28621792793274,14.458382844924927,1.4543533325195312e-05,10.408421754837036,7.780399322509766,0.17732596397399902,0.009567022323608398,0.017623996,0.003807232,0.005197088,0.00900432,0.026628316
6,0.2,0.9,65,10,47,377,377,32,47,30.368481159210205,12.638335704803467,3.337860107421875e-06,9.927481174468994,7.3084917068481445,0.157545804977417,0.00801396369934082,0.026720252,0.005767168,0.018096128,0.023863296,0.050583548
